GP,W,L,W%,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-
82,56,26,68.3,49.7,34.3,76.9,44.6,8.0,22.4,36.0,18.2,23.8,76.3,12.5,28.7,41.1,19.0,15.0,8.5,5.2,4.0,18.4,0.1,94.8,5.4
82,15,67,18.3,50.1,37.4,85.0,44.0,5.7,16.2,35.1,20.1,26.8,75.0,13.3,26.7,40.0,21.9,16.4,9.9,3.8,6.8,21.7,0.1,100.6,-7.3
82,54,28,65.9,49.8,36.4,77.3,47.1,7.2,16.9,42.8,18.8,24.2,77.7,11.1,28.0,39.1,24.6,14.7,7.3,4.3,4.1,19.9,0.2,98.9,1.9
82,69,13,84.1,49.6,40.0,84.4,47.3,6.4,17.1,37.3,16.8,22.5,74.7,15.1,30.0,45.1,26.1,13.5,8.7,4.0,3.5,18.4,0.2,103.1,10.8
82,42,40,51.2,50.2,33.0,72.8,45.3,5.9,15.7,37.6,15.6,21.6,72.3,11.1,26.3,37.4,20.9,14.5,8.0,3.8,4.3,21.1,0.2,87.5,1.8
82,24,58,29.3,49.9,34.3,78.7,43.6,5.2,16.0,32.6,16.8,23.4,71.7,12.7,27.6,40.3,20.3,16.1,8.0,4.3,5.3,20.5,0.2,90.6,-6.4
82,21,61,25.6,50.2,35.8,81.5,43.9,7.8,20.9,37.2,18.5,24.3,76.1,12.1,29.9,42.0,23.0,16.6,6.1,5.9,5.5,20.4,0.2,97.8,-6.3
82,54,28,65.9,49.9,34.5,74.3,46.4,7.1,18.3,38.8,18.1,24.3,74.5,10.5,27.9,38.4,19.0,12.7,7.7,3.5,3.4,18.6,0.2,94.2,5.2
82,30,52,36.6,50.1,36.5,80.1,45.6,5.9,16.6,35.3,20.7,26.6,77.8,13.2,27.5,40.8,22.2,17.2,7.5,4.4,4.8,20.2,0.1,99.6,-4.7
82,57,25,69.5,49.9,37.0,79.1,46.8,8.2,22.4,36.5,18.3,24.3,75.5,11.3,31.3,42.6,24.5,16.6,8.4,4.2,4.5,18.4,0.2,100.6,4.5
82,39,43,47.6,50.4,34.8,76.3,45.6,5.2,13.8,38.1,20.6,28.5,72.2,12.5,29.1,41.7,21.3,16.3,7.1,4.8,5.1,22.1,0.3,95.4,1.0
